ID;FullName;global_id;AdmArea;District;Address;LegalAddress;ContactPhone;Fax;Email;WebSite;Categorization;CertificateNumber;CertificateIssueDate;NumberInFederalList;CertificateValidity;NameOfAccreditedOrganization;geodata_center;geoarea
325;"Гостиница «Алтай"" Корпус 5 (ОАО «Гостиница «Алтай») ";62409882;Северо-Восточный административный округ;район Марфино;Гостиничная улица, дом 10, корпус 5;127106, город Москва, Ботаническая улица, дом 41;"PublicPhone:(495) 482-58-83

";(495) 482-56-21;altaybook@gmail.com;www.altay-hotel.ru;без звёзд;550000540;21.04.2018;550000540;21.04.2021;ООО «Строим отель»;01010000001E520C9068CA4240742502D53FEC4B40;
326;Гостиница «Алтай» Корпус 6 (ОАО «Гостиница «Алтай») ;62409883;Северо-Восточный административный округ;район Марфино;улица Гостиничная, дом 12, корпус 6;127106, город Москва, Ботаническая улица, дом 41;"PublicPhone:(495) 221-81-86

";(495) 221-81-83;"booking@altay-hotel.ru; altaybook@gmail.com";www.altay-hotel.ru;;;;;;;0101000000AA656B7D91CA4240D3F9F02C41EC4B40;
327;Гостиница «Алтай» корпус 8;62409884;Северо-Восточный административный округ;район Марфино;улица Гостиничная, дом 4А, корпус 8;127106, город Москва, Ботаническая улица, дом 41;"PublicPhone:(495) 221-81-86

";(495) 221-81-83;"booking@altay-hotel.ru; altaybook@gmail.com";www.altay-hotel.ru;;;;;;;01010000001D75745C8DCA424044A852B307EC4B40;
328;"Хостел ""3 Пингвина"" ИП Боровиков Дмитрий Владимирович";62409885;Центральный административный округ;район Замоскворечье;Пятницкая улица, дом 20, строение 2, квартира 4;;"PublicPhone:(495) 951-53-53

";(495) 951-53-53;hostel.3penguis@yandex.ru;;без звёзд;550013672 ;21.03.2018;550013672 ;20.03.2021;"ООО ""Центр сертификации, классификации и контроля качества""	";01010000007593180456D0424063D520CCEDDE4B40;
329;Хостел «Голливуд»;62409886;Восточный административный округ;район Перово;улица Лазо, дом 8;111398, город Москва, улица Лазо, дом 8;"PublicPhone:(495) 309-11-81

";(495) 309-11-81;Letsohollywood@yandex.com;www.letsoh.ru;без звёзд;550000397;06.03.2018;550000397;05.03.2021;"ООО ""Центр промышленной безопасности и экспертизы""";01010000002635B401D8E242408104C58F31DF4B40;
330;Хостел «Золотой колос» корпус 8 Хостел;62409887;Северо-Восточный административный округ;Алексеевский район;Ярославская улица, дом 10, корпус 4;129336, город Москва, Ярославская улица, дом 15, корпус 3;"PublicPhone:(495) 683-05-35

";(495) 617-63-60;hotel@zkolos.ru;www.zkolos.ru;;;;;;;01010000000EA48B4D2BD34240E0BC38F1D5E84B40;
331;Гостиничный комплекс «Орехово» корпус 1 АО Гостиничный комплекс «Орехово»;62409888;Южный административный округ;район Орехово-Борисово Северное;Шипиловский проезд, дом 43, корпус 1;115551, город Москва, Шипиловский проезд, дом 39, корпус 2;"PublicPhone:(495) 391-68-62

";(495) 343-43-91;"booking@orekhovo-hotel.ru; info@orekhovo-hotel.ru";www.orekhovo-hotel.ru;;;;;;;010100000060048D9944D9424005E09F5225CE4B40;
332;Гостиница «Орехово» Корпус 2  АО «Гостиничный комплекс «Орехово»;62409889;Южный административный округ;район Орехово-Борисово Северное;Шипиловский проезд, дом 39, корпус 2;115551, город Москва, Шипиловский проезд, дом 39, корпус 2;"PublicPhone:(495) 391-68-62

";(495) 343-43-91;"booking@orekhovo-hotel.ru; info@orekhovo-hotel.ru";www.orekhovo-hotel.ru;;;;;;;0101000000A37895B54DD942409E60FF756ECE4B40;
333;"ГГостиничный комплекс Севастополь, корпус 1 ""Классик""";62409890;Юго-Западный административный округ;район Зюзино;Большая Юшуньская улица, дом 1, корпус 1 ;117303, город Москва, Большая Юшуньская улица, дом 1А;"PublicPhone:(495) 318-28-27

PublicPhone:(495) 318-03-81

";(495) 318-77-66;"reservation@sevastopol-hotel.ru; sevastbroni@yandex.ru";www.sevastopol-hotel.ru;;;;550001000;;;0101000000B7990AF148CC4240416667D13BD34B40;
334;Гостиничный комплекс «Севастополь» корпус «Модерн» АО «Г/К «Севастополь»;62409891;Юго-Западный административный округ;район Зюзино;Большая Юшуньская улица, дом 1, корпус А;117303, город Москва, Большая Юшуньская улица, дом 1А;"PublicPhone:(495) 318-03-81

";(495) 318-53-36; sevastopol-modern@yandex.ru ;sevastopol-hotel.ru;три звезды;;10.12.2019;550020619 ;10.12.2022;"ООО ""ТЕКА-С"" ";0101000000ACAB02B518CC4240B6696CAF05D34B40;
335;OOO «МК-СЕРВИС» «Гостевой дом Ерино» ;62409892;Новомосковский административный округ;поселение Рязановское;Рязановское поселение, поселок Ерино, дом 1, строение 1 ;142102, город Москва, поселение Рязановское, поселок Ерино, дом 1, строение 1 ;"PublicPhone:(903) 715-41-83

PublicPhone:(915) 484-05-30

PublicPhone:(495) 867-55-36

";;erinootel@yandex.ru;erinoda.ru;;;;;;;0101000000A41B615111C342402448A5D8D1B84B40;
336;"Гостиница ""Отель Ананас""";62409893;Западный административный округ;район Филёвский Парк;улица Барклая, дом 13, строение 1;;"PublicPhone:(903) 112-44-99

";;hotelananas@mail.ru;hotelananas.ru;;;;550006179;;;0101000000D8F335CB65BF4240FB78E8BB5BDF4B40;
337;"Средство размещения ""Хостел ""ЛАБИРИНТ""";62409894;Северо-Западный административный округ;район Южное Тушино;улица Бутырская, дом 6;125429, город Москва, улица Туристская, дом 2, корпус 5;"PublicPhone:(495) 233-37-65

";(495) 233-37-65;msh@obshagi.org ;www.obshagi.org;;;;;;;0101000000514D49D6E1CA4240A75D4C33DDE54B40;
338;"Гостиница ""Сверчков-8""";62409895;Центральный административный округ;Басманный район;Сверчков переулок, дом 8, строение 1;101000, город Москва, Сверчков переулок, дом 8, строение 1;"PublicPhone:(495) 625-49-78

";(495) 625-44-36;sverchkov-8@yandex.ru;www.sverchkov-8.ru;;;;;;;010100000007B7B585E7D14240D2C8E7154FE14B40;
339;"Гостиница ""Отель на Никоновке""";62409896;Центральный административный округ;Тверской район;Никоновский переулок, дом 3/1;;"PublicPhone:(495) 974-13-85

";;nnikonovka@yandex.ru;;;;;550006734;;;010100000060014C1938CE4240A69883A0A3E34B40;
340;Отель «СтандАрт» ;62409897;Центральный административный округ;Тверской район;Страстной бульвар, дом 2;;"PublicPhone:(495) 587-77-31

";;info@standarthotel.com;standarthotel.ru;;;;550007639;;;010100000027F8A6E9B3CD424098309A95EDE14B40;
341;курорт «Красная Пахра»;62409898;Троицкий административный округ;поселение Краснопахорское;Парковая улица, домовладение 10, строение 1;;"PublicPhone:(495) 256-25-19

";;sales-pakhra@amaks-hotels.ru;www.pakhra.amaks-kurort.ru;;;;550006076;;;01010000007BC03C64CAA54240F48AA71E69B64B40;
342;Отель «СеверСити»;62409899;Северо-Западный административный округ;район Хорошёво-Мнёвники;улица Паршина, дом 16;;"PublicPhone:(495) 660-28-56

PublicPhone:(495) 777-07-88

";(495) 660-28-59;book@seversiti.ru ;www.seversiti.ru;;;;550007148;;;01010000005F43705CC6B94240DD60A8C30AE54B40;
343;Гостиница «Бригантина»;62409900;Юго-Восточный административный округ;Рязанский район;улица Академика Скрябина, дом 8, корпус 3;;"PublicPhone:(495) 371-56-88

PublicPhone:(495) 371-07-49

";;brigantina-gosti@yandex.ru;www.brigantinaotel.ru;;;;550006534;;;01010000007CEE04FBAFE54240E8F692C668DB4B40;
344;СРЕДСТВО РАЗМЕЩЕНИЯ «ХОСТЕЛ «ДЕПО»;62409901;Северо-Восточный административный округ;район Ростокино;Сельскохозяйственная улица, дом 7, корпус 1;;"PublicPhone:(495) 233-37-65

";;msh@obshagi.org;www.obshagi.org;без звезд;550012272;09.08.2017;550012272;09.08.2020;"ООО ""Премьер-Дил""";010100000015AC71361DD342408A93FB1D8AEA4B40;
345;Гостиница «Сити отель»;62409902;Юго-Восточный административный округ;район Печатники;Волгоградский проспект, дом 42, строение 16;;"PublicPhone:(495) 973-80-00

";;admin@hotel-citi.ru;hotel-citi.ru;;;;550008149;;;01010000008A929048DBDC4240EB724A404CDA4B40;
346;Отель «Малетон»;62409903;Юго-Западный административный округ;район Черёмушки;улица Гарибальди, дом 36, строение 3;;"PublicPhone:(495) 718-55-90

";;maleton77@mail.ru;www.maleton.ru;;;;550006669;;;0101000000828DEBDFF5C742409BAA7B6473D54B40;
347;"Гостиница ""Мини-отель ""4Комнаты""";62409904;Северный административный округ;район Аэропорт;1 Балтийский переулок, дом 3/25;;"PublicPhone:(499) 941-09-05

";;veles.v@bk.ru ;4rooms-hotel.ru;;;;550008546;;;0101000000E353008C67C242409FAD8383BDE74B40;
348;Хостел «Компас»;62409905;Центральный административный округ;район Замоскворечье;Старый Толмачевский переулок, дом 3 ;;"PublicPhone:(915) 151-57-08

";;compass_hostel@mail.ru;;без звезд;550012265;20.06.2017;550012265;20.09.2020;"ООО ""ПромСтандарт""";0101000000280B5F5FEBD04240C22FF5F3A6DE4B40;
349;Отель «Домино» Индивидуальный предприниматель Мельник Анна Эдуардовна;62409906;Северо-Западный административный округ;район Южное Тушино;Свободы улица, дом 40, корпус 2;;"PublicPhone:(499) 493-02-18

";(499) 493-04-81;dominohotel7@gmail.com;domino77.ru;;;;550009714;;;0101000000AD4CF8A57EBA42408A5A9A5B21EC4B40;
350;Отель «Артхофф» ИП Давыдов Сергей Федорович;62409907;Центральный административный округ;Басманный район;Большая Почтовая улица, дом 34, строение 4а. ;;"PublicPhone:(495) 763-61-65

";; info@arthoff-hotel.ru;arthoff-hotel.ru;три звезды;77/41/704-2020;11.02.2020;550021964 ;10.02.2023;"OOO ""Управляющая компания ""Отель менеджмент"" ";01010000000F971C774AD94240E9D1544FE6E34B40;
351;"Отель ""ИНТАЙМ""";62409908;Центральный административный округ;район Арбат;Староваганьковский переулок, дом19, строение 7;;"PublicPhone:(495) 697-13-53

";;info@hotel-in-time.ru;hotel-in-time.ru;;;;550007096;;;010100000014252191B6CD42408AABCABE2BE04B40;
352;Гостиница «Бродвей»;62409909;Северо-Западный административный округ;район Митино;улица Генерала Белобородова, дом 34;;"PublicPhone:(495) 759-22-77

";(495) 754-01-55;broadway-hotel@mail.ru;www.broadway-hotel.ru;;;;;;;010100000070CD1DFD2FAD42404223D8B8FEE94B40;
353;"Гостиница ""София""";62409910;Восточный административный округ;район Измайлово;улица Верхняя Первомайская, дом 36, строение 2;;"PublicPhone:(495) 780-44-20

";;mail@hostel-izmailovo.ru;;;;;550008128;;;0101000000D2A8C0C936E642405874EB353DE64B40;
354;"Отель ""Времена Года""";62409911;Центральный административный округ;район Арбат;Большой Кисловский переулок, дом1, строение 2;;"PublicPhone:(495) 691-69-69

";;info@hotelvremenagoda.com;hotelvremenagoda.com;;;;550007093;;;01010000000D8CBCAC89CD42403A2009FB76E04B40;
355;Хостел «ТМЗ»;62409912;Северо-Западный административный округ;район Южное Тушино;Свободы улица, дом 35, строение 18;;"PublicPhone:(926) 490-77-73

";;hosteltmz@mail.ru;;без звезд;550012208;07.08.2017;550012208;07.08.2020;ООО «Юридическое агентство Персона Грата»;01010000002D41464085B74240F4FA93F8DCEB4B40;
356;Хостел «Весна»;62409913;Центральный административный округ;Басманный район;Старая Басманная улица, дом 5, строение 1, квартира 3;105064, город Москва, улица Старая Басманная, дом 5, строение 1, квартира 3;"PublicPhone:(985) 422-87-51

";;info@vesnahostel.ru;vesnahostel.ru;;;;;;;01010000002444F98216D442405437177FDBE14B40;
357;"ООО ""ПАЛЬМИРА БИЗНЕС КЛУБ"", Отель ""ПАЛЬМИРА БИЗНЕС КЛУБ""";62409914;Южный административный округ;Донской район;Новоданиловская набережная, дом 6;117105, город Москва, Варшавское шоссе, дом 17;"PublicPhone:(499) 551-55-55

";;"info@palmira-bc.ru; booking@palmira-bc.ru";www.palmira-bc.ru;;;;;;;01010000001711C5E40DD04240D7851F9C4FD94B40;
358;Гостиница «Лаки Старс» ;62409915;Восточный административный округ;район Соколиная Гора;Медовый переулок, дом 5, строение 2;107023, город Москва, Медовый переулок, дом 5, строение 2;"PublicPhone:(499) 748-11-79

";;admin@luckystarshotel.ru;www.luckystarshotel.ru;одна звезда;550006209;29.12.2018;550006209;29.12.2021;Российская гостиничная ассоциация;01010000005B423EE8D9DA424044DB317557E44B40;
359;Гостиница «Отель Леон-Спа»;62409916;Юго-Восточный административный округ;район Выхино-Жулебино;Жулебинский бульвар, дом 36, корпус 1;;"PublicPhone:(495) 706-40-36

";;hotel-leon-spa@mail.ru;hotel-leon.ru;;;;550009525;;;01010000004DDC2A8881EC4240815A0C1EA6D74B40;
360;Гостиница «ГАРДЕНЕР» ООО «Держава»;62409917;Юго-Восточный административный округ;район Капотня;улица Верхние поля, дом 56, строение 11;109429, город Москва, улица Верхние поля, дом 56, строение 11;"PublicPhone:(929) 940-46-10

";;oooderzhava@yandex.ru ;;;;;;;;0101000000B94F8E0244E94240A4AB74779DD34B40;
361;ЦЕНТР ВРЕМЕННОГО РАЗМЕЩЕНИЯ «ПЕРЕДЕЛКИНО» ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ «ВАЛДАЙ ЗАПАД»;62409918;Западный административный округ;район Ново-Переделкино;8-я Чоботаревская аллея, дом 3;;"PublicPhone:(903) 674-52-24

";;valday.co@yandex.ru;www.mkserv.ru;без звезд;550010331;06.12.2019;550010331;05.12.2022;"ООО ""Премьер-Дил""";0101000000179D2CB5DEAD4240B1FB8EE1B1D34B40;
362;«Цитадель Комфорт Отель»;62409919;Центральный административный округ;Тверской район;Тверская улица, дом 12, строение 9;;"PublicPhone:(965) 200-76-76

";;citadelmsk@gmail.com;www.citadelhotel.ru;две звезды;550012193;01.08.2017;550012193;01.08.2020;Российская гостиничная ассоциация;0101000000A148F7730ACE4240DBDFD91EBDE14B40;
363;Хостел «Рациональ»;62409920;Северо-Западный административный округ;район Митино;Митинская улица, дом 15;;"PublicPhone:(495) 669-88-84

";;rationalhostel@gmail.com;;без звезд;550012188;26.07.2017;550012188;26.07.2020;"ООО ""Акадаемия Консалтинга и Инноваций""";01010000008599B67F65AF424005A73E90BCEB4B40;
364;"БУТИК-ОТЕЛЬ ""МОСС"" (MOSS BOUTIQUE HOTEL)";62409921;Центральный административный округ;Басманный район;Кривоколенный переулок , дом 10, строение 4;;"PublicPhone:(495) 114-55-72

";;reception@mosshotel.ru;www.mosshotel.ru;пять звезд;550012156;20.07.2017;550012156;19.07.2020;"ООО ""Премьер-Дил""";010100000030D7A20568D142404563EDEF6CE14B40;
365;"Гостиница ""Иван Чай""";62409922;Южный административный округ;район Нагатино-Садовники;Нагатинская набережная, дом 10, корпус 3;1;"PublicPhone:(909) 661-19-81

";;ivanchai.hotel@gmail.com;;две звезды;550012132;20.06.2017;550012132;20.08.2020;"ООО ""Акадаемия Консалтинга и Инноваций""";010100000058FE7C5BB0D24240F1D4230D6ED74B40;
366;"Гостиница ""ОТЕЛЬ ХАУЗ"" ООО ""Наследие""";62409923;Центральный административный округ;Басманный район;Лялин переулок, дом 7/2, строение 4;;"PublicPhone:(495) 917-17-62

";;ostel77@yandex.ru;hotelhouze.ru;Одна звезда;77/43/096-2020;31.01.2020; 550021776;31.01.2023;"ООО ""Стар Лайн""";0101000000FB20CB8289D34240D9B3E73235E14B40;
367;Гостиница «Зодиак»;62409924;Южный административный округ;Донской район;Ленинский проспект, дом 15;;"PublicPhone:(495) 748-41-41

PublicPhone:(916) 748-41-41

";;zodiak-hotel@mail.ru;hotel-zodiak.ru;;;;550006033;;;0101000000FD84B35BCBCC42405AF3E32F2DDC4B40;
368;"Мини-отель ""Адам"" ООО ""ФортЭкспресс""";62409925;Центральный административный округ;Красносельский район;улица Нижняя Красносельская, дом 15, строение 1;;"PublicPhone:(495) 255-20-20

";;mini-hotel-101@mail.ru;;;;;550007720;;;01010000002E910BCEE0D54240A0504F1F81E34B40;
369;"Мини-отель «ФАБ»
ООО «ФАБ»";62409926;Юго-Восточный административный округ;Южнопортовый район;улица Шарикоподшипниковская, дом 12;;"PublicPhone:(926) 387-15-55

";;fab.fab2015@yandex.ru ;mini-otiel-fab.wintega.com;две звезды;;10.06.2019;550006787;09.06.2022;ООО «Строим отель»;01010000006286C61341D642406C2409C215DC4B40;
370;ГОСТИНИЦА «СТОЛИЧНАЯ»;62409927;Центральный административный округ;Басманный район;улица Новорязанская, дом 26, строение 1;105066, город Москва, улица Новорязанская, дом 26, строение 1;"PublicPhone:(495) 607-38-15

";;info@stolichnaya-hotel.ru;stolichnaya-hotel.ru;;;;550005110;;;0101000000EFAD484C50D54240A14CA3C9C5E24B40;
371;Средство размещения гостиничного типа «Пионер Эстейт», улица Жигулевская, дом 4, к.1;62409928;Юго-Восточный административный округ;район Кузьминки;Жигулевская, дом 4, корпус 1;;"PublicPhone:(495) 650-51-60

";;info@pioner.estate;www.mos-yut.ru;без звезд;550012113;12.07.2017;550012113;12.07.2020;"ООО ""Скайгейт""";01010000001B7FA2B261E142408D614ED026DB4B40;
372;"Отель ""Кауфман""";62409929;Центральный административный округ;Басманный район;Посланников переулок, дом 9, строение 5;;"PublicPhone:(495) 995-24-34

";;booking@kaufmanhotel.ru;www.kaufmanhotel.ru;;;;550008710;;;010100000001A4367172D742404F20EC14ABE24B40;
373;Общество с ограниченной ответственностью «ЭВКЛАЗ», средство размещения;661805442;Центральный административный округ;Даниловский район;3-я Фрунзенская улица, дом 10;;"PublicPhone:(499) 242-03-73

";;evklaz-clinic@yandex.ru;;;;;;;;0101000000D21DC4CE14CA42402AC6F99B50DC4B40;
374;Лианозовский офисно-гостиничный комплекс;661805443;Северный административный округ;район Восточное Дегунино;Дмитровское шоссе, дом 108, строение 3;;"PublicPhone:(495) 483-07-67

";(495) 484-54-40;liangok@mail.ru;www.lianozovohotel.ru/;три звезды;550015536 ;20.09.2018;550015536 ;19.09.2021;"Общество с ограниченной ответственностью ""Стар Лайн""	";010100000030F31DFCC4C542409207228B34F14B40;
375;Гостиница «Золотой Колос» корпус 1 ОАО «Гостиница «Золотой Колос»;661805444;Северо-Восточный административный округ;Алексеевский район;Ярославская улица, дом 15, корпус 1;129336,город  Москва, Ярославская улица, дом 15, корпус 3;"PublicPhone:(495) 683-05-35

";(495) 617-63-60;hotel@zkolos.ru;www.zkolos.ru;;;;;;;0101000000C860C5A9D6D24240B3CD8DE909E94B40;
376;Гостиница «Золотой Колос» корпус 7 ОАО «Гостиница «Золотой Колос»;661805445;Северо-Восточный административный округ;Алексеевский район;Ярославская улица, дом 10, корпус 5;129336,город  Москва, Ярославская улица, дом 15, корпус 3;"PublicPhone:(495) 683-05-35

";(495) 617-63-60;hotel@zkolos.ru;www.zkolos.ru;;;;;;;01010000009DD9AED007D34240D3DA34B6D7E84B40;
377;"Хостел ""Кон-Тики""";661805778;Центральный административный округ;район Хамовники;4-й Ростовский переулок, дом 2, строение 1, квартира 20;;"PublicPhone:(916) 752-32-76

";;Kon-tiki.hostel@yandex.ru;tikihostel.ru;;;;;;;0101000000B2D7BB3FDEC942404B3E761728DF4B40;
378;Гостиница «Подушкин на Арбате»;661866677;Центральный административный округ;район Арбат;Панфиловский переулок, дом 6;;"PublicPhone:(495) 221-22-38

";;podushkin@bk.ru;www.podushkin.ru/;;;;;;;01010000006EC0E78711CA424094BDA59C2FE04B40;
379;Гостиница «Подушкин на ВДНХ» ;661874687;Северо-Восточный административный округ;район Ростокино;Сергея Эйзенштейна улица, дом 2;115446, город Москва, Коломенский проезд, дом 21, квартира 191;"PublicPhone:(495) 221-22-38

";;podushkin@bk.ru;www.podushkin.ru/;;;;;;;0101000000EDD286C3D2D242407D03931B45EA4B40;
380;Гостиница «Подушкин на Войковской»;661882921;Северный административный округ;район Коптево;Коптевская улица, дом 26, корпус 4;125252, город Москва, Песчаный переулоу, дом 14, корпус 3, квартира 216;"PublicPhone:(495) 221-22-38

";;podushkin@bk.ru;www.podushkin.ru/;;;;;;;01010000003FFF3D78EDC24240637E6E68CAEA4B40;
381;Гостиница «Подушкин на Каширке»;661890503;Южный административный округ;район Москворечье-Сабурово;Пролетарский проспект, дом 1;125493, город Москва, улица Флотская, дом 16, квартира 16;"PublicPhone:(495) 221-22-38

";;podushkin@bk.ru;www.podushkin.ru/;;;;;;;01010000003927F6D03ED442408DEDB5A0F7D24B40;
382;Гостиница «Подушкин на Комсомольской»;661897263;Центральный административный округ;район Хамовники;Комсомольский проспект, дом 23/7, корпус 2;117042, город Москва, улица Южнобутовская, дом 9, квартира 109;"PublicPhone:(495) 221-22-38

";;podushkin@bk.ru;www.podushkin.ru/;;;;;;;0101000000E2EA0088BBCA42402288F37002DD4B40;
383;Отель Ольховка;661905217;Центральный административный округ;Красносельский район;Ольховская улица, дом 45, строение 1;105066, город Москва, улица Ольховская, дом 45, строение 1;"PublicPhone:(495) 605-06-25

";(495) 605-06-25;hotelolhovka@gmail.com;hotelolhovka.ru;три звезды;550012715 ;28.09.2017;550012715 ;28.09.2020;"ООО ""Скайгейт""";01010000005DA626C11BD642401ABFF04A92E34B40;
384;Гостиница «Подушкин на Маросейке»;661913793;Центральный административный округ;Басманный район;Маросейка улица, дом 9/2, строение 6, квартира 16;;"PublicPhone:(495) 221-22-38

";;podushkin@bk.ru;www.podushkin.ru/;;;;;;;01010000009D64ABCB29D14240EFAEB321FFE04B40;
385;Гостиница «Подушкин в Марьино»;661920613;Юго-Восточный административный округ;район Марьино;Новочеркасский бульвар, дом 13;;"PublicPhone:(495) 221-22-38

";;podushkin@bk.ru;www.podushkin.ru/;;;;;;;01010000004759BF9998DC4240992D5915E1D24B40;
386;Гостиница «Подушкин на Новослободской»;661930005;Центральный административный округ;Тверской район;Долгоруковская улица, дом 40;127006, город Москва, улица Долгоруковская, дом 40;"PublicPhone:(495) 221-22-38

";;podushkin@bk.ru;www.podushkin.ru/;;;;;;;01010000004243FF0417CD424084D9041896E34B40;
387;Гостиница «Подушкин на Октябрьском поле»;661937678;Северо-Западный административный округ;район Щукино;Ирины Левченко улица, дом 1;;"PublicPhone:(495) 221-22-38

";;podushkin@bk.ru;www.podushkin.ru/;;;;;;;010100000001C3F2E7DBBE4240DBA7E33103E54B40;
388;Гостиница «Подушкин на Пресне»;661946190;Центральный административный округ;Пресненский район;Малая Грузинская улица, дом 29, строение 1;125572, город Москва, улица Новгородская, дом 27, квартира 43;"PublicPhone:(495) 221-22-38

";;podushkin@bk.ru;www.podushkin.ru/;;;;;;;0101000000A489778027C94240103CBEBD6BE24B40;
389;Гостиница «Подушкин на проспекте Мира»;661953865;Центральный административный округ;Мещанский район;Орлово-Давыдковский переулок, дом 2/5, строение 3;125572, город Москва, улица Новгородская, дом 27, квартира 43;"PublicPhone:(495) 221-22-38

";;podushkin@bk.ru;www.podushkin.ru/;;;;;;;010100000012BD8C62B9D14240CAE1934E24E44B40;
390;Гостиница  «Подушкин на Римской»;661961095;Юго-Восточный административный округ;район Лефортово;Душинская улица, дом 10;117437, город Москва, улица Акадаемика Арцимовича, дом 20, квартира 101 ;"PublicPhone:(495) 221-22-38

";;podushkin@bk.ru;www.podushkin.ru/;;;;;;;01010000005DC30C8D27DA4240070951BEA0DF4B40;
391;Гостиница «Подушкин на Севастопольском»;661969222;Юго-Западный административный округ;район Коньково;Севастопольский проспект, дом 54Г;127422, город Москва, Дмитровский проезд, дом 18, квартира 177;"PublicPhone:(495) 221-22-38

";;podushkin@bk.ru;www.podushkin.ru/;;;;;;;01010000005952EE3EC7C742400874266DAAD24B40;
392;Гостиница «Подушкин  на Таганке»;661983843;Центральный административный округ;Таганский район;Народная улица, дом 23/13;123060, город Москва, улица Маршала Соколовского, дом 13, квартира 48;"PublicPhone:(495) 221-22-38

";;podushkin@bk.ru;www.podushkin.ru/;;;;;;;0101000000583CF54883D34240BB80971936DE4B40;
393;Гостиница «Подушкин на Трубной» ;661993544;Центральный административный округ;Тверской район;1-й Колобковский переулок, дом 10, строение 1;117042, город Москва, улица Южнобутовская, дом 9, квартира 109;"PublicPhone:(495) 221-22-38

";;podushkin@bk.ru;www.podushkin.ru/;;;;;;;010100000021956247E3CE424064CA87A06AE24B40;
394;Гостиница «Подушкин в Филях»;662001279;Западный административный округ;район Филёвский Парк;Олеко Дундича улица, дом 7;115446, город Москва, Коломенский проезд, дом 21, квартира 191;"PublicPhone:(495) 221-22-38

";;podushkin@bk.ru;www.podushkin.ru/;;;;;;;01010000009F7422C154BF42409370218FE0DE4B40;
395;Гостиница «Подушкин на Хорошевке»;662007665;Северо-Западный административный округ;район Хорошёво-Мнёвники;Мневники улица, дом 13;;"PublicPhone:(495) 221-22-38

";;podushkin@bk.ru;www.podushkin.ru/;;;;;;;01010000006D8C9DF012BE42400282397AFCE24B40;
396;Гостиница «Подушкин на Шаболовке» ;662015390;Южный административный округ;Даниловский район;Шухова улица, дом 13;123592, город Москва, улица Кулакова, дом12, корпус 1, квартира 401;"PublicPhone:(495) 221-22-38

";;podushkin@bk.ru;www.podushkin.ru/;;;;;;;0101000000AC3C81B053CE4240FB9463B2B8DB4B40;
397;"Гостиница ""Мини-отель Авиамоторная";662022790;Юго-Восточный административный округ;район Лефортово;2-я Кабельная улица, дом 10;105568, город Москва, улица Челябинская, дом 13, квартира 76;"PublicPhone:(967) 013-00-47

PublicPhone:(800) 505-40-25

";;booking@1arbat-hotel.ru;www.1arbat-hotel.ru/;;;;;;;0101000000F511F8C3CFDB4240651D8EAED2DF4B40;
398;"Гостиница ""Гостеприимный дом Ботанический""";662033699;Северо-Восточный административный округ;район Свиблово;Лазоревый проезд, дом 12;105568, город Москва, улица Челябинская, дом 13, квартира 76;"PublicPhone:(800) 505-40-25

";;booking@1arbat-hotel.ru;www.1arbat-hotel.ru/;две звезды;550003133;17.12.2015;550003133;17.12.2021;"ООО  ""Эксперт Консалт Груп""";0101000000139CFA40F2D0424061E28FA2CEEC4B40;
399;"Гостиница ""Мини-отель Каширский";662041889;Южный административный округ;район Нагатино-Садовники;Каширское шоссе, дом 9, корпус 1;105568, город Москва, улица Челябинская, дом 13, квартира 76;"PublicPhone:(967) 013-00-47

PublicPhone:(800) 505-40-25

";;booking@1arbat-hotel.ru;www.1arbat-hotel.ru/;;;;;;;01010000006B4606B98BD042405D16139B8FD54B40;
400;"Гостиница ""Мини-отель Измайловский""";662049551;Восточный административный округ;район Измайлово;Верхняя Первомайская улица, дом 6, корпус 3;143960, Московская область, город Реутов, улица Октября, дом 24. квартира 36;"PublicPhone:(967) 013-00-47

PublicPhone:(800) 505-40-25

";;booking@1arbat-hotel.ru;www.1arbat-hotel.ru/;;;;;;;0101000000BB270F0BB5E44240D61A4AED45E64B40;
401;"Гостиница ""Мини-отель Подъезд № 2""";662056949;Центральный административный округ;Таганский район;Воронцовская улица, дом 21, строение 1;105568, город Москва, улица Челябинская, дом 13, квартира 76;"PublicPhone:(967) 013-00-47

PublicPhone:(800) 505-40-25

";;booking@1arbat-hotel.ru;www.1arbat-hotel.ru/;;;;;;;0101000000BCADF4DA6CD44240E2B19FC552DE4B40;
402;"Гостиница ""Гостеприимный дом Семеновский""";662093427;Восточный административный округ;район Соколиная Гора;Лечебная улица, дом 3;Лечебная улица, дом 3;"PublicPhone:(967) 013-00-47

PublicPhone:(800) 505-40-25

";;booking@1arbat-hotel.ru;www.1arbat-hotel.ru/;;;;;;;01010000008B4E965AEFDD42409082A7902BE54B40;
403;"Гостиница ""Мини-гостиница Соколиная гора""";662099913;Восточный административный округ;район Соколиная Гора;3-я Соколиной горы улица, дом 19;105568, город Москва, улица Челябинская, дом 13, квартира 76;"PublicPhone:(967) 013-00-47

PublicPhone:(800) 505-40-25

";;booking@1arbat-hotel.ru;www.1arbat-hotel.ru/;;;;;;;0101000000EE23B726DDDE4240CBB9145795E14B40;
